title,company,location,latitude,longitude,description,salary_min,salary_max,redirect_url,created,search_query,search_location,source,date_downloaded,job_level,min_outlier,max_outlier
"Senior Business Analyst, Data",Arc IT Recruitment,EC1V0AA,51.523383,-0.100112,"Senior Business Analyst, Data To 85K bonus &amp; benefits London, hybrid Senior Business Analyst is sought by global and highly prestigious insurance group to join its fast-moving and cutting-edge data function. This role sits within a team responsible for driving data-led transformation, delivering scalable solutions and supporting business-wide strategy through insightful analysis and effective stakeholder engagement. This role will see you wo... ",85000.0,85000.0,https://www.reed.co.uk/jobs/senior-business-analyst-data/54760937,01/04/2025,data analyst,England,reed,2025-04-22 18:37:03,Senior,True,False
Data & AI Product Manager,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"DATA &amp; AI PRODUCT MANAGER UP TO 120,000 HYBRID - LONDON - 2-3X A WEEK *Please note, this company is unable to offer sponsorship at this time and you must be a UK resident* THE COMPANY Join this professional services firm to take ownership of high-value initiatives, working closely with senior stakeholders and cross-functional teams to deliver impactful solutions. THE ROLE You will act as the key point of contact for stakeholders, including t... ",100000.0,120000.0,https://www.reed.co.uk/jobs/data-ai-product-manager/54626811,11/03/2025,data analyst,England,reed,2025-04-22 18:37:03,Senior,True,True
AI Engineer,Harnham - Data & Analytics Recruitment,Manchester,53.4794892,-2.2451148,"AI Engineer / ML Engineer - CRYPTO - REMOTE We are collaborating with a cryptocurrency analytics firm that assists clients in identifying market opportunities, conducting due diligence, and protecting portfolios. The company is expanding its strategic capabilities in AI &amp; ML. They are seeking a skilled and driven Senior AI/ML Engineer to join their team. In this position, you will design and manage AI models to process extensive blockchain d... ",130000.0,150000.0,https://www.reed.co.uk/jobs/ai-engineer/54627833,11/03/2025,data analyst,remote,reed,2025-04-22 18:37:06,Senior,True,True
Senior Salesforce Administrator / Senior Sales Ops Analyst,Robert Half,Bristol,51.4538022,-2.5972985,"Robert Half have partnered with a global EdTech organisation looking to enhanced their Sales Operations function with the addition of a remote Senior Sales Operations Analyst / Senior Salesforce Administrator to cover European working hours for the organisation. Key Responsibilities Collaborate with cross-functional stakeholders from Sales, Pricing, FP&amp;A, Order Management, Channel, IT, and fellow Sales Operations team members Self-manage to ... ",70000.0,100000.0,https://www.reed.co.uk/jobs/senior-salesforce-administrator-senior-sales-ops-analyst/54872851,22/04/2025,data analyst,remote,reed,2025-04-22 18:37:06,Senior,False,True
Risk Business Analyst Team Lead,INTEC SELECT LIMITED,EC3N2EX,51.512554,-0.076884,"Risk Business Analyst Team Lead – Financial Services – Up to 110k – City of London - Hybrid Overview: We are currently partnered with one of the world’s leading financial institutions who are seeking an experienced Risk Business Analyst Team Lead to join their Technology Innovation Management team. This is a high-impact role where you will be accountable for overseeing the Risk portfolio, leading a team of consultants and permanent staff, and en... ",100000.0,110000.0,https://www.reed.co.uk/jobs/risk-business-analyst-team-lead/54642846,13/03/2025,data analyst,remote,reed,2025-04-22 18:37:06,Senior,True,True
Pensions vacancies - various levels,Profile Search & Selection Ltd,Leeds,53.7974185,-1.5437941,"If you are currently seeking a technical role within Pensions or seeking assistance with a current vacancy we are awaiting your call !! Just an informal chat at this stage is all we need to assess whether we can assist. Lisa Tremlett &amp; Juliette Lister have over thirty years recruitment experience to the Pensions profession. Profile provides expert assistance in the recruitment of experienced personnel to Third Party Pensions Companies, In-ho... ",25000.0,100000.0,https://www.reed.co.uk/jobs/pensions-vacancies-various-levels/54496069,18/02/2025,data analyst,remote,reed,2025-04-22 18:37:06,Senior,False,True
Account Executive,Walsh Employment,Frankfurt,50.1106444,8.6820917,"Account Executive Location: Frankfurt, Germany - hybrid role working from home 2 days per week. Salary: €75-85K base with €150-170K OTE plus excellent benefits package. Our client is a global technology company leading the way in continuous testing and quality engineering . Their AI-powered platform offers a fully automated, codeless solution for enterprise software testing, helping organisations accelerate digital transformation by improving re... ",150000.0,170000.0,https://www.reed.co.uk/jobs/account-executive/54745996,31/03/2025,data analyst,remote,reed,2025-04-22 18:37:06,Unknown,True,True
AI & Tech Lead,Reed.co.uk,WC2B5LX,51.516485,-0.121918,"Build the Future of AI Recruitment with us! Do you have a passion for AI, technical leadership, and building scalable, high-impact products? We're looking for a Lead AI &amp; Tech Architect to ensure the success of our cutting-edge AI recruitment platform. Overview This is a unique opportunity to take ownership of a high-profile AI-powered recruitment solution, ensuring its scalability, security, and long-term innovation. You'll play a pivotal r... ",90000.0,90000.0,https://www.reed.co.uk/jobs/ai-tech-lead/54816674,09/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,False
AI & Technology Lead,Reed.co.uk,WC2B5LX,51.516485,-0.121918,"Build the Future of AI Recruitment with us! Do you have a passion for AI, technical leadership, and building scalable, high-impact products? We’re looking for a Lead AI &amp; Tech Architect to ensure the success of our cutting-edge AI recruitment platform. Overview This is a unique opportunity to take ownership of a high-profile AI-powered recruitment solution, ensuring its scalability, security, and long-term innovation. You’ll play a pivotal r... ",90000.0,90000.0,https://www.reed.co.uk/jobs/ai-technology-lead/54770405,02/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,False
AI Financial Controller,ADSM PLC,SL46AF,51.487082,-0.609212,"Job Title: Financial Controller Location: Hybrid Salary: 90-120k Reports to: Director Team: 4-5 direct reports Company Overview: At Advanced Demand-Side Management (ADSM), we’re not just shaping the future of water management; we’re revolutionizing it with cutting-edge technology and AI-driven solutions. As a high-tech business in the utilities sector, we leverage the latest innovations to create efficiency and drive results. We are now seeking ... ",90000.0,120000.0,https://www.reed.co.uk/jobs/ai-financial-controller/54825279,10/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Data Architect,N Brown Group,M606ES,53.482993,-2.232328,"We’re looking for a Data Architect to join our architecture chapter here at N Brown Group! &nbsp; What will you do as a Data Architect at N Brown?&nbsp; Designing solutions to meet customer needs. This will be end to end and take advantage of key frameworks that are part of our wider strategy. From data visualisation, analytical requirements, and machine learning needs to ingestion of new sources.&nbsp; Work collaboratively with teams to create,... ",90000.0,90000.0,https://www.reed.co.uk/jobs/data-architect/54797799,07/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,False
Data Governance Lead,Chambers and Partners,EC4A2AE,51.514302,-0.10848,"Salary: 85,000 basic Location: London (Hybrid) Job Description: We are seeking an experienced Data Governance Lead to join Chambers and Partners, the world's leading provider of legal research and analysis. Reporting to the Chief Data Officer, you will play a pivotal role in maximizing the quality, usability, and commercial value of our strategic data assets, whilst ensuring regulatory compliance. You will lead the governance programme implement... ",85000.0,85000.0,https://www.reed.co.uk/jobs/data-governance-lead/54844999,15/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,False
Data Scientist,Profile 29,W1S3DN,51.509916,-0.138487,"Job: Data Scientist (London W1) Salary to 120k Benefits; pension, stock options*, free in-office lunches Location; Mon-Fri onsite in London W1 offices (Piccadilly Circus) Company Having recently floated on *NASDAQ, this company is a dynamic, AI-first SaaS company known for leveraging the latest advancements in Generative AI to deliver world-class Ai commerce solutions. Recognized by industry leaders, they are in an exciting growth phase and seek... ",100000.0,120000.0,https://www.reed.co.uk/jobs/data-scientist/54659222,17/03/2025,data science,England,reed,2025-04-22 18:37:11,Unknown,True,True
Data Scientist,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"Contract Data Scientist - Graph Theory &amp; Household Propensity Modelling Gaming &amp; Gambling Sector | Remote UK | 500-550/day Outside IR35 We're working with a leading gaming &amp; gambling business looking to hire a contract Data Scientist with experience in Graph Theory and Household Propensity Modelling. You'll be joining a high-performing data science team focused on customer behaviour, player interaction modelling, and personalisation ... ",100000.0,100000.0,https://www.reed.co.uk/jobs/data-scientist/54831071,11/04/2025,data science,England,reed,2025-04-22 18:37:11,Unknown,True,True
Head of Data Science,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"HEAD OF DATA SCIENCE UP TO 140,000 LONDON This is an exciting opportunity to join a rapidly growing fin-tech looking for a talented individual to head up their data science function and someone who can work cross functionally across the business. THE COMPANY This business is a growing car finance lender, who have recently raised over 150 million and are backed by some of the world's leading investors. THE ROLE You can expect to be involved in th... ",100000.0,140000.0,https://www.reed.co.uk/jobs/head-of-data-science/54859888,17/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Head of Data Science,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"HEAD OF DATA SCIENCE LONDON UP TO 140,000 Join a fast-growing fintech revolutionising the way people finance their vehicles. Backed by leading investors and already serving thousands of happy customers, they're scaling fast and building a category-defining platform. As the first Head of Data Science, you'll take full ownership of the data science roadmap. From credit risk modelling and pricing optimisation to fraud detection and customer behavio... ",100000.0,140000.0,https://www.reed.co.uk/jobs/head-of-data-science/54859895,17/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Head of Data Science,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"Head of Data Science Up to 140,000 London Hybrid I am currently hiring for a top consumer lending fintech based in London. They are looking to bring in a top leader in data science function to come into the business and spearhead the Fraud, Credit Risk, and Customer Analytics modelling for the business to support rapid growth. The Role: Developing new models for Credit risk decisioning/developing scorecard models using SQL, Python, and Snowflake... ",120000.0,140000.0,https://www.reed.co.uk/jobs/head-of-data-science/54860072,17/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Senior Data Scientist,Rise Technical Recruitment Limited,London,51.5074456,-0.1277653,"Senior Data Scientist London - 4 Days on-site 65,000 - 110,000 DOE Generous Equity Unlimited Holiday This is an excellent opportunity for a Senior Data Scientist to join a rapidly growing start-up, where you will focus on analytics and modelling to interpret data. This company is a platform designed to simplify the hiring process for businesses and enable individuals to find flexible work opportunities. By connecting businesses with skilled prof... ",65000.0,110000.0,https://www.reed.co.uk/jobs/senior-data-scientist/54788992,04/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,False,True
