title,company,location,description,redirect_url,salary_min,salary_max,created
Data Science Manager,Arch Europe Insurance Services,"Southampton, Hampshire","With a company culture rooted in collaboration, expertise and innovation, we aim to promote progress and inspire our clients, employees, investors and communities to achieve their greatest potential. Our work is the catalyst that helps others achieve their goals. In short, We Enable Possibility℠. Key Tasks & Responsibilities Work closely with business partners to understand the business problems they are trying to solve and help develop and prioritize the best-suited analytics solutions. Collab…",https://www.adzuna.co.uk/jobs/details/5003580935?utm_medium=api&utm_source=9b195f40,42147.69,42147.69,2025-01-09T17:27:11Z
Enterprise Data Architect,La Fosse Academy,"Ocean Village, Southampton","Enterprise Data Architect - Hybrid Working out of Southampton or London - £150,000 package - FS brand This position provides strategic technology leadership, focusing on the development, maintenance, communication, and governance of the organisation's technology strategy, architecture, and roadmaps. The role emphasises balancing business objectives, industry trends, innovation, and cost efficiency, while influencing executive stakeholders and supporting decisions that shape the organization's t…",https://www.adzuna.co.uk/jobs/land/ad/5111400755?se=FoCusr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=7D198BFD4A5B2E6E58B424454F597CCC79780215,100000,100000,2025-03-25T23:56:39Z
Junior Data Consultant,Sparta Global Limited,"Southampton, Hampshire","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/land/ad/5121846293?se=FoCusr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=D3940C40598AC985C3F49C7A1266824ED57BF6FA,24000,24000,2025-04-01T17:45:17Z
Enterprise Data Architect,La Fosse Academy,"Southampton, Hampshire","Enterprise Data Architect - Hybrid Working out of Southampton or London - £150,000 package - FS brand This position provides strategic technology leadership, focusing on the development, maintenance, communication, and governance of the organisation's technology strategy, architecture, and roadmaps. The role emphasises balancing business objectives, industry trends, innovation, and cost efficiency, while influencing executive stakeholders and supporting decisions that shape the organization's t…",https://www.adzuna.co.uk/jobs/details/5111505462?utm_medium=api&utm_source=9b195f40,100000,100000,2025-03-26T03:09:44Z
Research Fellow Edge Computing for AI,University of Southampton,"Southampton International Airport, Southampton","Job Details Section Agents, Interaction & Complexity Location: Highfield Campus Salary £41,671 to £44,128 Per annum Full Time Fixed Term to 16/06/2027 Closing Date: Monday 21 April 2025 Interview Date To be confirmed Reference 3047725FP Applications are invited for a Research Fellow position specialising in Edge Computing for AI at the National Edge AI Hub. The position is full-time for a duration until 16/06/2027 with potential for extension You will be part of the EPSRC National Edge Artifici…",https://www.adzuna.co.uk/jobs/details/5118025560?utm_medium=api&utm_source=9b195f40,51422.14,51422.14,2025-03-29T17:24:23Z
First Team Physical Performance Coach,Southampton FC,"Southampton, Hampshire","Be part of our journey Location: Staplewood Training Ground Hours: Full Time Contract Type: Permanent Criminal Record Check: DBS Enhanced with Child’s and Adults Barred List What is the role? Working within the First Team Physical Performance Department, you will assist in the delivery of team & individual strength/power sessions to First Team players along with pre-training preparation & recovery strategies and optimising individual development programmes (IDPs). What will you be doing? You wi…",https://www.adzuna.co.uk/jobs/details/5106766197?utm_medium=api&utm_source=9b195f40,27956.88,27956.88,2025-03-22T17:20:19Z
Data Platform Engineer,Zimmer Biomet,"Southampton, Hampshire","At Zimmer Biomet, we believe in pushing the boundaries of innovation and driving our mission forward. As a global medical technology leader for nearly 100 years, a patient's mobility is enhanced by a Zimmer Biomet product or technology every 8 seconds. As a Zimmer Biomet team member, you will share in our commitment to providing mobility and renewed life to people around the world. To support our talent team, we focus on development opportunities, robust employee resource groups (ERGs), a flexi…",https://www.adzuna.co.uk/jobs/details/5116418597?utm_medium=api&utm_source=9b195f40,47735.33,47735.33,2025-03-28T18:58:00Z
Trainee Software Developer,ITOL Recruitment,"Southampton, Hampshire","Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, w…",https://www.adzuna.co.uk/jobs/details/5097709470?utm_medium=api&utm_source=9b195f40,26000,35000,2025-03-17T19:54:49Z
Coding and Programming Trainee,ITOL Recruitment,"Southampton, Hampshire","Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, which includes tut…",https://www.adzuna.co.uk/jobs/details/5126249933?utm_medium=api&utm_source=9b195f40,26000,35000,2025-04-03T13:46:11Z
Clinical Scientist,University Hospital Southampton NHS FT,"Southampton, Hampshire",Job Overview University Hospital Southampton NHS Foundation Trust is delighted to offer a fantastic opportunity to work with us. Please see below for detailed job description of the role. Main duties of the job An exciting opportunity has arisen at the Wessex Genomics Laboratory Service (WGLS - Salisbury) for a full-time fixed term position (for 23 months) as a Clinical Scientist in Cancer. We are looking for a scientist with sound knowledge of cancer genetics and the ability to critically anal…,https://www.adzuna.co.uk/jobs/details/5081380978?utm_medium=api&utm_source=9b195f40,51156.69,51156.69,2025-03-07T19:23:51Z
