title,company,location,description,redirect_url,salary_min,salary_max,created
Data Scientist,Keller Executive Search,"Belfast, Northern Ireland","Keller Executive Search is currently looking for a talented Data Scientist to join their dynamic team. In this role, you will harness the power of data to derive insights and support key business decisions across a range of strategic initiatives. You will be responsible for utilizing advanced statistical methods, machine learning algorithms, and data visualization techniques to tackle complex data challenges. Your work will involve working with large datasets, conducting analyses, and presentin…",https://www.adzuna.co.uk/jobs/details/5124562186?utm_medium=api&utm_source=9b195f40,108000,156000,2025-04-02T18:22:44Z
Business Risk Officer – (Data Science / Developer),Citigroup,"Belfast, Northern Ireland","Team / Role Overview The Business Risk Officer - Data Science/Developer will play an important role within Citi’s Markets Conduct, Financial Crime, and Regulatory Risk program, leveraging technical expertise to evaluate business use cases and develop functional prototypes. Recognized as a technical authority within the business, you will spearhead innovative projects focused on productivity, cost-savings, and risk management, utilizing technologies such as Python, Golang, SQL, and GenAI. What y…",https://www.adzuna.co.uk/jobs/details/5103636206?utm_medium=api&utm_source=9b195f40,45723.11,45723.11,2025-03-20T23:54:18Z
Business Risk Officer - (Data Science / Developer),Citigroup,"Belfast, Northern Ireland","Team / Role Overview The Business Risk Officer - Data Science/Developer will play an important role within Citi's Markets Conduct, Financial Crime, and Regulatory Risk program, leveraging technical expertise to evaluate business use cases and develop functional prototypes. Recognized as a technical authority within the business, you will spearhead innovative projects focused on productivity, cost-savings, and risk management, utilizing technologies such as Python, Golang, SQL, and GenAI. What y…",https://www.adzuna.co.uk/jobs/details/5105040738?utm_medium=api&utm_source=9b195f40,44003.57,44003.57,2025-03-21T18:34:08Z
Low Carbon Technology Engineer,Northern Ireland Electricity,"Belfast, Northern Ireland","Due to a growing portfolio of projects and initiatives in network forecasting and capacity an opportunity has arisen within our Low Carbon Technology team to appoint a new Low Carbon Technology Engineer. As a Low Carbon Technology Engineer, you will be responsible for identifying and delivering a variety of pioneering projects and initiatives for NIE Networks within the area of network capacity and load forecasting. NIE Networks has established its Distribution System Operator (DSO) Programme t…",https://www.adzuna.co.uk/jobs/land/ad/5123611641?se=3C33oL8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=051BAF466E10D165B04EFB0454DBE7F05FCC36D1,60000,60000,2025-04-02T07:09:00Z
Senior Machine Learning Ops Engineer,DailyPay Inc,"Belfast, Northern Ireland","About Us: DailyPay is transforming the way people get paid. As a worktech company and the industry's leading earned wage access solution, DailyPay uses an award-winning technology platform to help America's top employers build stronger relationships with their employees. This voluntary employee benefit enables workers everywhere to feel more motivated to work harder and stay longer on the job while supporting their financial well-being outside of the workplace. DailyPay is headquartered in New …",https://www.adzuna.co.uk/jobs/details/5102064882?utm_medium=api&utm_source=9b195f40,85000,85000,2025-03-20T04:56:32Z
Lead Data Engineer,PA Consulting Services Ltd,"Belfast, Northern Ireland","Company description We believe in the power of ingenuity to build a positive human future. As strategies, technologies, and innovation collide, we create opportunity from complexity. Our teams of interdisciplinary experts combine innovative thinking and breakthrough technologies to progress further, faster. Our clients adapt and transform, and together we achieve enduring results. We are over 4,000 strategists, innovators, designers, consultants, digital experts, scientists, engineers, and tech…",https://www.adzuna.co.uk/jobs/details/5090547809?utm_medium=api&utm_source=9b195f40,70400.31,70400.31,2025-03-13T04:21:54Z
Data Engineer,MCS Group,"Belfast, Northern Ireland","MCS Group is seeking a number of Data Engineers as part of an exclusive project within one of Northern Ireland's most exciting technology companies. Off the back of recent business wins, our client is looking to grow their teams and seeking talented data professionals to join them. The ideal candidate will have a strong background in data engineering, with exposure to building and maintaining scalable data pipelines, including commercial expertise in Hadoop and PySpark. You will work closely wi…",https://www.adzuna.co.uk/jobs/details/5088097030?utm_medium=api&utm_source=9b195f40,70000,70000,2025-03-12T04:17:27Z
Data Engineer,VANRATH,"Belfast, Northern Ireland","Job Advertisement: Skilled Data Engineer (Azure, Databricks, Data Lakes) Location: Belfast (3 days a week in the office) Recruiter: Kelly Nixon at VANRATH We are currently seeking a Skilled Data Engineer to join a leading Professional Services client based in Belfast. This is an exciting opportunity to work on high-impact data engineering projects, leveraging cutting-edge technologies like Azure, Databricks, and Data Lakes. About the Role: As a Data Engineer, you will be responsible for buildin…",https://www.adzuna.co.uk/jobs/details/5113087146?utm_medium=api&utm_source=9b195f40,60000,60000,2025-03-27T05:55:02Z
Senior Backend Engineer (Machine Learning),Proofpoint,"Belfast, Northern Ireland","It's fun to work in a company where people truly BELIEVE in what they're doing We're committed to bringing passion and customer focus to the business. Corporate Overview Proofpoint is a leading cybersecurity company protecting organisations' greatest assets and biggest risks: vulnerabilities in people. With an integrated suite of cloud-based solutions, Proofpoint helps companies around the world stop targeted threats, safeguard their data, and make their users more resilient against cyber-attac…",https://www.adzuna.co.uk/jobs/details/5124882368?utm_medium=api&utm_source=9b195f40,52913.68,52913.68,2025-04-02T20:02:04Z
Data Engineer,Adepta Partners Limited,"Belfast, Northern Ireland","Our client is a global firm that thrives on innovation and creating positive change. They work with some of the biggest names across a range of thriving industries and offer fantastic growth opportunities. They are heavily investing in their data team here in Belfast - hiring from Junior right up to Lead positions, working on a hybrid basis from some of city's newest and most modern offices. As part of the clients Digital team, youll work alongside colleagues from across the company delivering …",https://www.adzuna.co.uk/jobs/details/5100378692?utm_medium=api&utm_source=9b195f40,45000,45000,2025-03-19T04:50:51Z
Staff Software Engineer,Proofpoint Limited NI,"Belfast, Northern Ireland","It's fun to work in a company where people truly BELIEVE in what they're doing We're committed to bringing passion and customer focus to the business. Corporate Overview Proofpoint is a leading cybersecurity company protecting organizations’ greatest assets and biggest risks: vulnerabilities in people. With an integrated suite of cloud-based solutions, Proofpoint helps companies around the world stop targeted threats, safeguard their data, and make their users more resilient against cyber-attac…",https://www.adzuna.co.uk/jobs/details/5036469779?utm_medium=api&utm_source=9b195f40,44407.23,44407.23,2025-02-04T13:12:35Z
"Research Fellow, Synthetic Organic Chemistry",Queens University,"Belfast, Northern Ireland","The successful candidate will become part of the newly established Future Medicines Institute (FMI) chemistry group, focused on the synthesis and iterative design of next generation induced proximity therapeutics. The role will include the design, planning and delivery small molecule compound libraries for the FMI Biological screening team. The role will also involved iterative compound design planning, synthesis and SAR exploration planning, so previous small synthesis work is essential. The F…",https://www.adzuna.co.uk/jobs/details/5120841565?utm_medium=api&utm_source=9b195f40,40000,40000,2025-04-01T06:44:51Z
Senior Data Engineer,Wolfspeed Services UK Limited,"Belfast, Northern Ireland","We are looking for Senior Data Engineer who will join the Enterprise, Data and Analytics Team and help us make the world a better place through innovation, which means we’re taking risks and questioning conventional thinking, and developing new technologies and ways of doing business – leading the way, every single day. Enjoy doing things that people say can’t be done? Innovation is at the center of everything we do. Hate red tape? We remove roadblocks instead of creating them. Looking for comm…",https://www.adzuna.co.uk/jobs/details/5082977550?utm_medium=api&utm_source=9b195f40,55389.16,55389.16,2025-03-08T17:13:04Z
Manager Data Engineer - Digital & Emerging Technologies - Technology Consulting - Belfast - IOI,EY,"Belfast, Northern Ireland","Manager Data Engineer - Digital &amp; Emerging Technologies - Technology Consulting - Belfast At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all. The opportunity This is a rapidly growing area, s…",https://www.adzuna.co.uk/jobs/details/5113830518?utm_medium=api&utm_source=9b195f40,50954.28,50954.28,2025-03-27T15:59:50Z
Manager Data Engineer - Digital & Emerging Technologies - Technology Consulting - Belfast - IOI,EY,"Belfast, Northern Ireland","Manager Data Engineer - Digital & Emerging Technologies - Technology Consulting - Belfast At EY, you'll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we're counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all. The opportunity This is a rapidly growing area, so yo…",https://www.adzuna.co.uk/jobs/details/5111824518?utm_medium=api&utm_source=9b195f40,50335.58,50335.58,2025-03-26T05:52:58Z
Data Visualisation Senior Analyst,Citigroup,"Belfast, Northern Ireland","Team / Role Overview Markets – Controls and Regulatory Management is looking for a Data Analyst & Visualisation specialist to join our team, to build high performance Analytical Dashboards (among others) used by senior stakeholders across our franchise. This Data Visualization Sr Analyst - will work within one or more teams across business, risk and control teams and technology teams playing the key role as a subject matter expert to design, validate, develop, and deploy both minimum viable pro…",https://www.adzuna.co.uk/jobs/details/5125554844?utm_medium=api&utm_source=9b195f40,52496.29,52496.29,2025-04-03T01:06:17Z
Data Engineer,PA Consulting Services Ltd,"Belfast, Northern Ireland","Company description We believe in the power of ingenuity to build a positive human future. As strategies, technologies, and innovation collide, we create opportunity from complexity. Our teams of interdisciplinary experts combine innovative thinking and breakthrough technologies to progress further, faster. Our clients adapt and transform, and together we achieve enduring results. We are over 4,000 strategists, innovators, designers, consultants, digital experts, scientists, engineers, and tech…",https://www.adzuna.co.uk/jobs/details/5105749100?utm_medium=api&utm_source=9b195f40,61616.12,61616.12,2025-03-22T05:10:15Z
Staff Software Engineer,Proofpoint,"Belfast, Northern Ireland","It's fun to work in a company where people truly BELIEVE in what they're doing We're committed to bringing passion and customer focus to the business. Corporate Overview Proofpoint is a leading cybersecurity company protecting organizations' greatest assets and biggest risks: vulnerabilities in people. With an integrated suite of cloud-based solutions, Proofpoint helps companies around the world stop targeted threats, safeguard their data, and make their users more resilient against cyber-attac…",https://www.adzuna.co.uk/jobs/details/5028353959?utm_medium=api&utm_source=9b195f40,39568.66,39568.66,2025-01-29T15:27:30Z
"Tax, Technology and Transformation - Transformation Manager 1",EY,"Belfast, Northern Ireland","Tax, Technology and Transformation - Transformation Manager - Belfast Tax departments today face more challenges than ever before. Not only do they need to deliver their basic compliance and reporting commitments with reducing resources, aging systems and increased internal pressures, but they are also increasingly having to face the scrutiny of digital tax authorities who are becoming more invasive, demanding more data more frequently. For many tax functions, this situation is becoming unsusta…",https://www.adzuna.co.uk/jobs/land/ad/5086173288?se=3C33oL8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=B67C27B14BEF89EA6961F864EFC95A24E1FDBF75,49200.99,49200.99,2025-03-11T04:12:08Z
RiSC Research Fellow (2 posts),Queens University,"Belfast, Northern Ireland","The post is a critical role, and as such, successful applicants will have responsibilities in independent research, research planning and reporting and for collaboration with project partners. The post is part of the ReImagining Supply Chains Network Plus (RiSC Network) project, whose main aim is to model and reimagine supply chains across the UK in food, critical minerals and fashion. The RiSC Network will offer evidence that exposes vulnerabilities, remedies current risks and demonstrates fut…",https://www.adzuna.co.uk/jobs/details/5119646080?utm_medium=api&utm_source=9b195f40,40000,40000,2025-03-31T06:42:28Z
Principal GIS Consultant,Stantec,"Belfast, Northern Ireland","Redefine your personal best. The GIS and Digital Data Analyst role is part of our thriving Digital Division. With our new Head of Digital driving transformation across the business, this is an exciting opportunity to join and be part of the change. Collaborating with clients in the water sector, you will help shape a smarter, more connected, and customer-centric value proposition. You'll be working alongside the best in the business who are technology solution experts that drive digital change …",https://www.adzuna.co.uk/jobs/details/5114230374?utm_medium=api&utm_source=9b195f40,37531.65,37531.65,2025-03-27T19:05:53Z
Principal GIS Consultant,Stantec UK,"Ormeau, Belfast","Redefine your personal best. The GIS and Digital Data Analyst role is part of our thriving Digital Division. With our new Head of Digital driving transformation across the business, this is an exciting opportunity to join and be part of the change. Collaborating with clients in the water sector, you will help shape a smarter, more connected, and customer-centric value proposition. You’ll be working alongside the best in the business who are technology solution experts that drive digital change …",https://www.adzuna.co.uk/jobs/details/5124383318?utm_medium=api&utm_source=9b195f40,42036.22,42036.22,2025-04-02T16:22:28Z
GIS and Digital Data Analyst - Water,Stantec UK Limited,"Belfast, Northern Ireland","Redefine your personal best. The GIS and Digital Data Analyst role is part of our thriving Digital Division. With our new Head of Digital driving transformation across the business, this is an exciting opportunity to join and be part of the change. Collaborating with clients in the water sector, you will help shape a smarter, more connected, and customer-centric value proposition. Youll be working alongside the best in the business who are technology solution experts that drive digital change a…",https://www.adzuna.co.uk/jobs/details/5117493479?utm_medium=api&utm_source=9b195f40,34195.06,34195.06,2025-03-29T05:36:33Z
