title,company,location,description,redirect_url,salary_min,salary_max,created
Data Scientist,Indotronix Avani UK,"Portsmouth, Hampshire","Role: Senior/Lead Data Scientist Location: Hybrid – 1 day onsite a week Role Type: 6 months initially – rolling contract Salary: up to £650 a day – depending on experience About the Client: Our client is a globally recognised leader in defence, aerospace, and security, delivering advanced technology and innovative solutions to safeguard nations and drive global progress. With a strong commitment to excellence, they offer world-class engineering, advanced manufacturing, and mission-critical serv…",https://www.adzuna.co.uk/jobs/land/ad/5124373764?se=rn7Bs78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=05657876EEC04459D897C866C9E7F67C9BAC08D1,59449,59449,2025-04-02T16:18:15Z
Data Science Trainee,ITOL Recruitment,"Portsmouth, Hampshire","Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",https://www.adzuna.co.uk/jobs/details/5097709465?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-17T19:54:49Z
Senior Data Scientist,"Indotronix Avani UK, Ltd.","Portsmouth, Hampshire","Role Type: Contract Job (6 Months Rolling) Rate : 550 - 600 GBP/Day (INSIDE IR35) Location: Portsmouth, Hampshire Hybrid - 1 day Weekly on-site work in Portsmouth, Hampshire. Irregular travel to Scotland. Possible international travel (Australia) Required Skills: Python, Data Science, Machine Learning, cuda, Pytorch, DSP, Digital Sigal processing, Resnet, PANNs, vision and speech transformers, Leadership/Management experience Role Description: Technical leadership and management: Owning jira bo…",https://www.adzuna.co.uk/jobs/details/5112699772?utm_medium=api&utm_source=9b195f40,143000,156000,2025-03-26T20:03:40Z
Principal Naval Architect (Weights),BAE Systems,"Hilsea, Portsmouth","Job Title: Principal Naval Architect (Weights) Location: Barrow-In-Furness, Brough, Filton, Frimley, Manchester, Portsmouth, Weymouth We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role. Salary: Competitive What you’ll be doing: Lead the collation strategy for mass properties data to deliver weight and centroid control on multi billion pound submarine programmes Responsible for aggregating weight and centroid r…",https://www.adzuna.co.uk/jobs/land/ad/5048953821?se=rn7Bs78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=6963E444990C57BC23AE219D7F2A9D7F53B41F9E,56291.09,56291.09,2025-02-13T22:07:58Z
Principal Naval Architect (Weights) (Portsmouth),BAE Systems,"Hilsea, Portsmouth","Job Title: Principal Naval Architect (Weights) Location: Barrow-In-Furness, Brough, Filton, Frimley, Manchester, Portsmouth, Weymouth We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role. Salary: Competitive What you’ll be doing: Lead the collation strategy for mass properties data to deliver weight and centroid control on multi billion pound submarine programmes Responsible for aggregating weight and centroid r…",https://www.adzuna.co.uk/jobs/land/ad/5126234928?se=rn7Bs78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=45575A09A568ABBE70D7D9BD844B7413F6D1846D,58551.56,58551.56,2025-04-03T13:28:03Z
Web Developer Trainee,ITOL Recruitment,"Portsmouth, Hampshire","Are you looking to benefit from a new career in Web Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, which …",https://www.adzuna.co.uk/jobs/details/5097709590?utm_medium=api&utm_source=9b195f40,25000,35000,2025-03-17T19:54:51Z
Data Platform Engineer,Zimmer Biomet,"Portsmouth, Hampshire","At Zimmer Biomet, we believe in pushing the boundaries of innovation and driving our mission forward. As a global medical technology leader for nearly 100 years, a patient's mobility is enhanced by a Zimmer Biomet product or technology every 8 seconds. As a Zimmer Biomet team member, you will share in our commitment to providing mobility and renewed life to people around the world. To support our talent team, we focus on development opportunities, robust employee resource groups (ERGs), a flexi…",https://www.adzuna.co.uk/jobs/details/5116418593?utm_medium=api&utm_source=9b195f40,51698.73,51698.73,2025-03-28T18:58:00Z
IT Investigations Data Analyst,SGN,"Portsmouth, Hampshire","We are looking for…. We are seeking a passionate and innovative Data Analyst to join our IT Investigations Team. This role is ideal for a detail-oriented individual with a background in data Analysis and analytics, problem-solving, and technical expertise across various data tools and techniques who wants to develop further in their career. We deliver safety, warmth, and comfort to homes and businesses across the community. Whether you're supporting from the office or working on the front line,…",https://www.adzuna.co.uk/jobs/details/5116079714?utm_medium=api&utm_source=9b195f40,43000,53800,2025-03-28T16:06:52Z
Coding and Programming Trainee,ITOL Recruitment,"Portsmouth, Hampshire","Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, which includes tut…",https://www.adzuna.co.uk/jobs/details/5097710198?utm_medium=api&utm_source=9b195f40,26000,35000,2025-03-17T19:54:56Z
Data Engineering Manager,SGN,"Portsmouth, Hampshire",Data Engineering Manager Location: Portsmouth Salary: £70-80k (DOE) Perks & Benefits: Competitive pension scheme - Enhanced maternity/paternity pay - Life assurance - HolidayPlus - Cycle2work Scheme & more Reference: REQ4468 We are looking for…. The Data Engineering Manager has responsibility for implementing and running the Data Engineering and Data Ops functions within SGN. This is an exciting opportunity for someone to lead a forward thinking Data Team and collaborate with the wider business…,https://www.adzuna.co.uk/jobs/details/5092172358?utm_medium=api&utm_source=9b195f40,70000,80000,2025-03-13T21:45:26Z
